Record_ID,Client,Industry,Platform,Content_Type,Content_Topic,Posting_Day,Posting_Time,Ad_Spend,Impressions,Reach,Likes,Comments,Shares,Saves,Clicks,Leads,Revenue,Video_Views,Watch_Time_Sec,Performance_Score
REC0001,Client_G,Health & Fitness,Facebook,Image,Industry News,Friday,Evening (17:00-21:00),0.0,393,288,5,0,0,0,3,0,0.0,0,0.0,30.38
REC0002,Client_A,Fashion & Retail,Instagram,Carousel,Promotional/Discount,Monday,Morning (08:00-12:00),0.0,705,629,11,0,0,0,12,0,0.0,0,0.0,32.46
REC0003,Client_G,Health & Fitness,Instagram,Image,Promotional/Discount,Monday,Night (21:00-08:00),0.0,584,413,14,1,1,1,7,0,0.0,0,0.0,43.22
REC0004,Client_D,B2B Tech/SaaS,LinkedIn,Text,Behind the Scenes,Thursday,Afternoon (12:00-17:00),287.04,2610,2301,80,7,5,5,67,3,472.26,0,0.0,55.31
REC0005,Client_E,Food & Beverage,Instagram,Video,Promotional/Discount,Thursday,Morning (08:00-12:00),253.07,2941,1915,46,5,3,3,73,4,92.32,1537,16107.11,44.61
REC0006,Client_B,Fashion & Retail,Instagram,Carousel,Lifestyle/Aesthetic,Friday,Evening (17:00-21:00),0.0,844,629,44,5,3,1,6,0,0.0,0,0.0,59.1
REC0007,Client_J,Travel & Hospitality,Instagram,Image,Meme/Trending,Sunday,Morning (08:00-12:00),116.57,1567,1179,92,7,3,4,27,1,106.16,0,0.0,65.87
REC0008,Client_I,E-Learning & Education,Instagram,Carousel,Promotional/Discount,Thursday,Night (21:00-08:00),0.0,972,849,13,1,0,0,16,1,45.07,0,0.0,36.66
REC0009,Client_H,Real Estate,LinkedIn,Text,Product Education,Wednesday,Afternoon (12:00-17:00),439.47,4026,3324,74,11,7,3,97,6,1722.54,0,0.0,62.67
REC0010,Client_A,Fashion & Retail,Instagram,Video,Promotional/Discount,Saturday,Evening (17:00-21:00),368.33,3937,3040,168,13,12,13,107,8,350.48,1875,19879.42,72.21
